id,date_message,id_member_anonymous,ddi,ddd,country,country_iso3,state,id_group_anonymous,media,media_type,media_url,has_media,has_media_url,trava_zap,mensagem,latitude,longitude,date_system,score_sentiment,score_misinformation,messenger,media_name,media_md5,viral,Misinformation,quantidade,text_processed
3271666,2023-09-19 21:00:34,74d3943d8c21e44550eda0e627e980df,55,27,BRAZIL,BRA,ES,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,?,-19.5687682,-40.1721991,2023-09-20 22:02:36.673382,0.0,,whatsapp,,,1.0,0.0,57,
3239618,2023-09-15 13:48:25,88354f069423ce78c6bac59f3d9abaa3,55,62,BRAZIL,BRA,GO,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,-15.9323662,-50.1392928,2023-09-15 22:58:06.100522,0.0,,whatsapp,,,1.0,0.0,57,
3190981,2023-09-01 15:14:37,88354f069423ce78c6bac59f3d9abaa3,55,62,BRAZIL,BRA,GO,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,-15.9323662,-50.1392928,2023-09-01 16:12:17.081732,0.0,,whatsapp,,,1.0,0.0,57,
3525721,2023-11-02 15:28:48,81a7edcd5b64a0c93158d59c2a36fbcd,55,85,BRAZIL,BRA,CE,79a36386ec43d64d062b3e4e5f1cd9fe,,,,False,False,False,?,-5.3264703,-39.7156073,2023-11-02 22:13:41.133670,0.0,,whatsapp,,,1.0,0.0,57,
3246596,2023-09-16 05:10:39,cadcf79b0394f5dc6c2fb497c8aa0e39,44,,GUERNSEY,GGY,,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,49.4566233,-2.5822348,2023-09-16 14:15:49.870349,0.0,,whatsapp,,,1.0,0.0,57,
3261918,2023-09-18 12:13:39,0df9f9a98c3f822187a2dd33b6daf4f5,55,48,BRAZIL,BRA,SC,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,-27.0628367,-51.114965,2023-09-19 03:01:04.459247,0.0,,whatsapp,,,1.0,0.0,57,
3408861,2023-10-10 20:34:50,b0804292d25d898e8cb5c643e7942038,55,44,BRAZIL,BRA,PR,60a41cb777e7f6ba36128a7e40b8a6a5,,,,False,False,False,?,-24.4842187,-51.8148872,2023-10-10 20:35:02.692526,0.0,,whatsapp,,,1.0,0.0,57,
3353055,2023-10-03 04:45:43,8bd3588db01c2dcf1898d61b9cfb86a2,55,69,BRAZIL,BRA,RO,8a31ab709cad3888850799ce82570b12,2ed9670566acd4a4bd20f8df21b50afc.m4v,video/mp4,,True,False,False,?,2.135138,-61.3631922,2023-10-03 04:45:34.133247,0.0,,whatsapp,,2ed9670566acd4a4bd20f8df21b50afc,1.0,0.0,57,
3328139,2023-09-29 17:42:07,825f6e0495d74e2852516e1d6debf539,55,11,BRAZIL,BRA,SP,72062660a742fc4b8ffe3c43b8eb0ad0,,,,False,False,False,?,-23.5506507,-46.6333824,2023-09-29 17:44:41.045065,0.0,,whatsapp,,,1.0,0.0,57,
3516760,2023-11-01 11:47:29,88354f069423ce78c6bac59f3d9abaa3,55,62,BRAZIL,BRA,GO,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,-15.9323662,-50.1392928,2023-11-01 12:19:43.112458,0.0,,whatsapp,,,1.0,0.0,57,
3522896,2023-11-02 11:50:11,7811f6573b367c2e40af653991d8b7a9,55,66,BRAZIL,BRA,MT,79a36386ec43d64d062b3e4e5f1cd9fe,,,,False,False,False,?,-12.2115009,-55.5716547,2023-11-02 12:37:45.862192,0.0,,whatsapp,,,1.0,0.0,57,
3282116,2023-09-21 20:15:58,dd4e8ec1f92c822c4f6362ac52e81c87,55,88,BRAZIL,BRA,CE,79a36386ec43d64d062b3e4e5f1cd9fe,,,,False,False,False,?,-5.3264703,-39.7156073,2023-09-22 09:15:53.001393,0.0,,whatsapp,,,1.0,0.0,57,
3449963,2023-10-18 13:09:10,0df9f9a98c3f822187a2dd33b6daf4f5,55,48,BRAZIL,BRA,SC,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,-27.0628367,-51.114965,2023-10-18 13:09:01.650475,0.0,,whatsapp,,,1.0,0.0,57,
3545110,2023-11-04 22:59:34,fc6376496e7283ff60cb46c9d7dd3f54,55,27,BRAZIL,BRA,ES,ca6cb66d568b8975750aa42bdf898280,,,,False,False,False,?,-19.5687682,-40.1721991,2023-11-04 23:06:13.626042,0.0,,whatsapp,,,1.0,0.0,57,
3348788,2023-10-02 17:04:08,6fb6e708a4138aba08cad6b27a88d6ae,55,91,BRAZIL,BRA,PA,6fb204781074ea35ab1e957ba150c56f,,,,False,False,False,?,-4.7493933,-52.8973006,2023-10-02 17:04:04.775904,0.0,,whatsapp,,,1.0,0.0,57,
3199101,2023-09-02 16:50:58,aaaa14b1b168df5f0e56cc54e41bf728,55,84,BRAZIL,BRA,RN,b5a0f1f01df8b5c052337dccdb4c3d70,781fa793733efafc311e88e1cfb10e6b.m4v,video/mp4,,True,False,False,?,-5.6781175,-36.4781776,2023-09-02 17:17:24.971382,0.0,,whatsapp,,781fa793733efafc311e88e1cfb10e6b,1.0,0.0,57,
3318896,2023-09-28 11:11:05,88354f069423ce78c6bac59f3d9abaa3,55,62,BRAZIL,BRA,GO,e5838581d00d1dd8d94d606e2a5dfe58,,,,False,False,False,?,-15.9323662,-50.1392928,2023-09-28 11:11:02.240646,0.0,,whatsapp,,,1.0,0.0,57,
