Unnamed: 0,id,date_message,id_member_anonymous,ddi,ddd,country,country_iso3,state,id_group_anonymous,media,media_type,media_url,has_media,has_media_url,trava_zap,mensagem,latitude,longitude,date_system,score_sentiment,score_misinformation,messenger,media_name,media_md5,viral,Misinformation,text_processed
113,3479987,2023-10-23 14:15:22,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,b0c34e4e06392b5d11498cb23eae2024,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-23 14:15:24.910233,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
252,3462749,2023-10-20 12:09:01,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-20 14:23:55.789678,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
176,3527593,2023-11-02 17:50:19,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-11-03 02:52:54.573531,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
36,3457872,2023-10-19 16:58:54,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-19 16:59:05.569871,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
71,3540684,2023-11-04 10:16:01,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,e0c37e3eb353201c2ca22096758128f5,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-11-04 11:09:55.466126,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
234,3455515,2023-10-19 09:14:48,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,e0c37e3eb353201c2ca22096758128f5,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-19 09:14:36.491764,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
94,3472011,2023-10-21 22:50:26,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-21 22:50:46.174647,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
33,3471802,2023-10-21 22:11:41,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,82de07ebb32ec373efe7e6cc311cb309,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-21 22:11:38.591862,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
247,3450432,2023-10-18 14:29:51,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-18 14:29:41.152649,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
170,3491171,2023-10-27 23:32:44,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,aae68397c7fd9d8dad7f0991876afd4c,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-10-27 23:34:09.844926,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
61,3546644,2023-11-05 10:12:10,ba3cffd9754e8e71c08ac9401cb1748b,55,11,BRAZIL,BRA,SP,8ed6c0420f68c813294fa1f5b7ce19c5,,,,False,False,False,"*Qual  Dessas ?  a Sua Religi?o?*

https://youtu.be/5_yg4O1i9hE",-23.5506507,-46.6333824,2023-11-05 10:19:09.327638,0.0,,whatsapp,,,1.0,1.0,dessas religio youtu
